MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO
15-03-2018,ETANOL_HIDRATADO,21290,R$/l,3.032,0.373,2.170,4.739,0.318,0.123,2.714,0.313,1.690,4.007,0.115
15-03-2018,GASOLINA_COMUM,24090,R$/l,4.199,0.283,3.479,5.200,0.426,0.067,3.773,0.227,2.990,4.527,0.060
15-03-2018,GLP,18490,R$/13kg,66.790,8.614,45.000,120.000,17.313,0.129,49.477,7.862,30.000,94.500,0.159
15-03-2018,GNV,1254,R$/m3,2.551,0.320,1.810,3.399,0.718,0.125,1.833,0.237,1.276,2.531,0.129
15-04-2018,DIESEL,14351,R$/l,3.432,0.213,2.890,4.700,0.353,0.062,3.079,0.166,2.490,3.872,0.054
15-04-2018,DIESEL_S10,19789,R$/l,3.518,0.213,2.940,4.970,0.370,0.061,3.148,0.165,2.590,4.279,0.052
15-04-2018,ETANOL_HIDRATADO,22233,R$/l,2.972,0.410,2.099,4.790,0.392,0.138,2.580,0.390,1.935,4.283,0.151
15-04-2018,GASOLINA_COMUM,25483,R$/l,4.215,0.292,3.397,5.200,0.414,0.069,3.801,0.231,2.990,4.572,0.061
15-04-2018,GLP,18484,R$/13kg,66.986,8.546,45.000,120.000,17.066,0.128,49.920,7.444,30.000,94.500,0.149
15-04-2018,GNV,1277,R$/m3,2.562,0.322,1.830,3.399,0.694,0.126,1.868,0.231,1.345,2.498,0.124
