MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO,PRECO_MEDIO_REVENDA_DEFLACIONADO
532,2012-02-29,OLEO_DIESEL,30884,R$/l,2.04,0.115,1.669,2.8,0.223,0.056,1.817,0.085,1.181,2.373,0.047,3.33987368421053
533,2012-03-31,OLEO_DIESEL,30022,R$/l,2.042,0.113,1.68,2.949,0.224,0.055,1.818,0.084,1.029,2.359,0.046,3.34529754385965
534,2012-04-30,OLEO_DIESEL,30078,R$/l,2.045,0.112,1.68,2.8,0.228,0.055,1.817,0.085,1.481,2.39,0.047,3.3347850877193
535,2012-05-31,OLEO_DIESEL,36387,R$/l,2.045,0.113,1.739,2.79,0.231,0.055,1.814,0.087,1.418,2.39,0.048,3.30428947368421
536,2012-06-30,OLEO_DIESEL,29404,R$/l,2.045,0.113,1.729,2.8,0.234,0.055,1.811,0.087,1.301,2.353,0.048,3.26769473684211
537,2012-07-31,OLEO_DIESEL,33338,R$/l,2.076,0.118,1.739,2.94,0.236,0.057,1.84,0.093,1.299,2.367,0.051,3.29319157894737
538,2012-08-31,OLEO_DIESEL,32239,R$/l,2.131,0.112,1.797,2.95,0.233,0.053,1.898,0.083,1.512,2.397,0.044,3.33034175438596
539,2012-09-30,OLEO_DIESEL,28844,R$/l,2.136,0.111,1.79,2.95,0.232,0.052,1.904,0.083,1.639,2.437,0.044,3.28456842105263
540,2012-10-31,OLEO_DIESEL,35122,R$/l,2.145,0.112,1.799,2.95,0.227,0.052,1.918,0.085,1.65,2.57,0.044,3.2619052631579
541,2012-11-30,OLEO_DIESEL,29152,R$/l,2.148,0.113,1.8,2.95,0.223,0.053,1.925,0.084,1.638,2.57,0.044,3.26571368421053
542,2012-12-31,OLEO_DIESEL,29334,R$/l,2.151,0.112,1.869,2.95,0.224,0.052,1.927,0.081,1.66,2.57,0.042,3.27140684210526
543,2013-01-31,OLEO_DIESEL,32749,R$/l,2.156,0.114,1.869,2.95,0.23,0.053,1.926,0.08,1.398,2.57,0.042,3.25329052631579
544,2013-02-28,OLEO_DIESEL,26615,R$/l,2.252,0.114,1.949,2.98,0.263,0.051,1.989,0.086,1.475,2.57,0.043,3.38471649122807
545,2013-03-31,OLEO_DIESEL,26438,R$/l,2.301,0.118,1.949,2.99,0.264,0.051,2.037,0.087,1.68,2.602,0.043,3.44665578947368
546,2013-04-30,OLEO_DIESEL,29656,R$/l,2.332,0.114,1.899,3.02,0.272,0.049,2.06,0.084,1.638,2.69,0.041,3.48449894736842
547,2013-05-31,OLEO_DIESEL,28753,R$/l,2.333,0.114,1.969,3.06,0.274,0.049,2.059,0.082,1.65,2.607,0.04,3.47985368421053
548,2013-06-30,OLEO_DIESEL,25620,R$/l,2.333,0.115,1.949,3.06,0.277,0.049,2.056,0.081,1.75,2.607,0.039,3.47985368421053
549,2013-07-31,OLEO_DIESEL,31274,R$/l,2.333,0.115,1.969,3.06,0.278,0.049,2.055,0.082,1.7,2.65,0.04,3.44915631578947
550,2013-08-31,OLEO_DIESEL,26091,R$/l,2.331,0.115,1.989,3.06,0.281,0.049,2.05,0.083,1.752,2.656,0.04,3.43556684210526
551,2013-09-30,OLEO_DIESEL,27230,R$/l,2.331,0.116,1.989,3.06,0.28,0.05,2.051,0.083,1.72,2.656,0.04,3.42943263157895
552,2013-10-31,OLEO_DIESEL,29298,R$/l,2.332,0.117,1.949,3.06,0.283,0.05,2.049,0.084,1.48,2.656,0.041,3.36953543859649
553,2013-11-30,OLEO_DIESEL,24764,R$/l,2.332,0.117,1.989,3.06,0.282,0.05,2.05,0.083,1.72,2.656,0.04,3.33435087719298
554,2013-12-31,OLEO_DIESEL,28394,R$/l,2.466,0.126,2.036,3.27,0.322,0.051,2.144,0.1,1.72,2.779,0.047,3.51340105263158
555,2014-01-31,OLEO_DIESEL,26880,R$/l,2.485,0.126,2.099,3.31,0.295,0.051,2.19,0.09,1.881,2.85,0.041,3.51431315789474
556,2014-02-28,OLEO_DIESEL,24397,R$/l,2.491,0.126,2.149,3.31,0.294,0.051,2.197,0.089,1.904,2.962,0.041,3.50182157894737
557,2014-03-31,OLEO_DIESEL,25621,R$/l,2.497,0.126,2.145,3.31,0.298,0.05,2.199,0.091,1.95,2.881,0.041,3.49360964912281
