DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2016-10-01,2.600000,3.070000,2.580000,3.020000,2.572084,90311300
2016-11-01,2.980000,2.980000,2.100000,2.250000,1.916288,92709200
2016-12-01,2.190000,2.350000,2.060000,2.280000,1.941838,65427700
2017-01-01,2.390000,2.880000,2.250000,2.840000,2.569144,98395500
2017-02-01,2.850000,3.760000,2.710000,3.300000,2.985274,113182000
2017-03-01,3.260000,3.840000,2.860000,3.290000,2.976228,132597000
2017-04-01,3.280000,3.290000,2.620000,2.730000,2.469635,97281200
2017-05-01,2.730000,3.090000,2.090000,2.290000,2.071599,123027800
2017-06-01,2.340000,2.490000,2.160000,2.400000,2.231272,76538700
2017-07-01,2.430000,2.850000,2.370000,2.690000,2.500884,60210400
2017-08-01,2.690000,2.860000,2.420000,2.630000,2.445102,78289100
2017-09-01,2.660000,2.930000,2.400000,2.480000,2.305647,99592100
2017-10-01,2.490000,2.700000,2.290000,2.370000,2.203381,74471000
2017-11-01,2.340000,2.380000,1.950000,2.040000,1.896581,83007800
2017-12-01,2.060000,2.160000,1.890000,2.060000,1.915175,69621100
2018-01-01,2.090000,2.440000,1.990000,2.330000,2.181277,82667700
2018-02-01,2.390000,2.600000,2.120000,2.500000,2.340425,74848300
2018-03-01,2.480000,2.610000,2.390000,2.580000,2.415319,65442600
2018-04-01,2.580000,2.600000,2.280000,2.390000,2.237447,75720000
2018-05-01,2.380000,2.420000,1.950000,2.010000,1.881702,86281200
2018-06-01,2.010000,2.080000,1.660000,1.780000,1.780000,66616800
