DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2016-03-01,3.670000,6.200000,3.550000,5.840000,5.829716,854897000
2016-04-01,5.640000,7.990000,5.190000,7.710000,7.696423,749282400
2016-05-01,7.550000,7.700000,5.630000,5.630000,5.620086,666736000
2016-06-01,5.570000,7.280000,5.450000,7.160000,7.147391,583290400
2016-07-01,7.140000,8.700000,6.620000,8.680000,8.664715,459012800
2016-08-01,8.550000,9.560000,7.780000,9.140000,9.123904,493473000
2016-09-01,9.160000,10.240000,8.720000,9.330000,9.313570,512417700
2016-10-01,9.450000,12.560000,9.340000,11.670000,11.649449,521428000
2016-11-01,11.610000,11.710000,9.140000,10.870000,10.850858,584736300
2016-12-01,10.880000,11.210000,9.780000,10.110000,10.092196,499465600
2017-01-01,10.590000,11.710000,10.220000,10.260000,10.241932,335171300
2017-02-01,10.480000,11.180000,9.800000,10.080000,10.062249,321769100
2017-03-01,10.250000,10.630000,8.700000,9.690000,9.672935,545803400
2017-04-01,9.810000,10.170000,8.760000,9.010000,8.994133,424099600
2017-05-01,9.010000,10.570000,8.390000,8.480000,8.465066,711018300
2017-06-01,8.620000,8.680000,7.610000,7.990000,7.975929,353143800
2017-07-01,8.000000,8.860000,7.640000,8.810000,8.794486,316212800
2017-08-01,8.790000,9.270000,8.410000,8.980000,8.964186,321045800
2017-09-01,9.120000,10.480000,9.080000,10.040000,10.022320,339985100
2017-10-01,9.910000,10.820000,9.870000,10.650000,10.631245,284357700
2017-11-01,10.770000,11.180000,9.410000,9.720000,9.702883,343375700
2017-12-01,9.890000,10.340000,9.410000,10.290000,10.271879,278503700
2018-01-01,10.460000,13.890000,10.430000,13.360000,13.336473,508157200
2018-02-01,13.700000,14.580000,11.870000,14.040000,14.015275,390726900
2018-03-01,14.140000,14.930000,13.570000,14.140000,14.115100,304022800
2018-04-01,14.000000,14.490000,13.180000,14.090000,14.065187,276164300
2018-05-01,14.050000,17.200001,11.020000,11.860000,11.839114,667481100
2018-06-01,12.120000,12.300000,9.200000,9.440000,9.440000,556501800
